Customer Name,SurveyID for external use (e.g. tech support),Club's Name,Social Media Source,Creation Date,Comment,Overall Score
Mark Barron,922045ea-5c74-4ec8-a2be-3b77c28f958f,Lake John Gym,Google,2022-07-01,Good variety of machines and weights. Classes are fun and motivating. Staff are very friendly and helpful. Easy to book classes online.,4
Daniel Mitchell,c954b795-1d01-4225-9d28-023606dbfe3f,West Courtneyville Gym,Google,2024-02-08,Parking is limited but manageable. Atmosphere is motivating and energetic.,2
Karen Austin,5da778e9-3128-4242-ae5f-8a15b6e5f7d8,Lake Nicholas Gym,Google,2022-07-05,Locker rooms could be cleaner. Easy to book classes online. Can get crowded during peak hours.,2
Corey Hoover,90e42868-023e-4560-8a5d-9bf6e675b000,Lake Sara Gym,Google,2024-03-08,Parking is limited but manageable. Good variety of machines and weights. Easy to book classes online. Great equipment and clean facilities.,5
Jacob Schaefer,def496a8-4062-4839-ab19-3fc1c1c03823,Lake Matthew Gym,Google,2022-11-27,Great equipment and clean facilities. Staff are very friendly and helpful. Atmosphere is motivating and energetic. Can get crowded during peak hours.,3
Scott Larson,2e9ff881-5025-4021-b20a-3e2980ccfc80,New Yeseniatown Gym,Google,2023-08-19,Classes are fun and motivating. Parking is limited but manageable. Some machines were broken during my visit.,3
James Rogers,5570f907-2e97-4f0c-8b8c-eb9455abc8b5,Brownton Gym,Google,2022-12-05,Some machines were broken during my visit. Great equipment and clean facilities. Staff are very friendly and helpful. Can get crowded during peak hours.,2
Tricia Wyatt,55f6b69d-4783-49b8-9f1d-70d9efb0197a,Port Randallville Gym,Google,2022-11-25,Some machines were broken during my visit. Atmosphere is motivating and energetic. Good variety of machines and weights. Great equipment and clean facilities.,4
Christopher Lawrence,2e7bc8bd-07e7-471c-8bf1-c06ee7566c7c,Lake Matthewstad Gym,Google,2022-11-29,Can get crowded during peak hours. Easy to book classes online. Classes are fun and motivating. Atmosphere is motivating and energetic.,2
Susan Pena,66ab0da2-3b65-4e5c-8239-3fb92f83a03c,West Johntown Gym,Google,2023-04-20,Can get crowded during peak hours. Easy to book classes online. Good variety of machines and weights. Parking is limited but manageable.,2
Amanda Brown,9c70ae01-68c1-422a-8187-a1b52e9a6162,Johnsborough Gym,Google,2024-04-19,Good variety of machines and weights. Can get crowded during peak hours.,5
John Harmon,031b256d-c2e7-474d-9382-b2446ce34c3c,South Sheila Gym,Google,2022-04-25,Classes are fun and motivating. Atmosphere is motivating and energetic.,4
Anthony Stone,ff512ff8-7ec2-4bd2-8a14-f1b2e2238852,Johnchester Gym,Google,2023-04-26,Atmosphere is motivating and energetic. Staff are very friendly and helpful. Some machines were broken during my visit.,5
Craig Jensen,3c0b4768-4e76-41d2-b59b-a82d62a5acbc,Lake Tom Gym,Google,2022-11-06,Great equipment and clean facilities. Classes are fun and motivating.,1
Richard Duncan,a04411d1-6650-431b-b937-ae5e94ca4b91,South Danielle Gym,Google,2022-07-27,Classes are fun and motivating. Can get crowded during peak hours. Good variety of machines and weights.,1
Amy Arroyo,ec6459f0-1d05-4e16-8301-75beeae40163,South Johnmouth Gym,Google,2022-08-20,Great equipment and clean facilities. Good variety of machines and weights.,2
Jennifer Singh,1cc012c2-0662-4c69-8678-4edb0d60d2fd,West Annaburgh Gym,Google,2023-03-04,Easy to book classes online. Locker rooms could be cleaner. Great equipment and clean facilities.,5
David Klein,625f1f91-7701-411e-a10f-37600bf251f9,South Pamela Gym,Google,2022-09-05,Great equipment and clean facilities. Atmosphere is motivating and energetic. Staff are very friendly and helpful.,1
Alexandra Young,ba02642b-35ef-417f-8e49-cfd8d425e88b,Jessicamouth Gym,Google,2023-07-25,Can get crowded during peak hours. Good variety of machines and weights. Some machines were broken during my visit.,3
Lynn Simpson,36183081-9528-4b50-abdc-b1cc032a93d6,North Andreaburgh Gym,Google,2023-12-15,Classes are fun and motivating. Good variety of machines and weights. Some machines were broken during my visit.,2
Michael Harrison,06fdadaf-b3ef-48ed-845c-f55567d4c696,East Deanhaven Gym,Google,2023-10-16,Easy to book classes online. Atmosphere is motivating and energetic. Good variety of machines and weights. Parking is limited but manageable.,5
Justin Hernandez,f424e30e-ed42-488d-a613-ba220cbca854,West Jacob Gym,Google,2023-08-06,Easy to book classes online. Parking is limited but manageable. Some machines were broken during my visit.,1
Tony Gilbert,7496915e-0c16-4f60-942e-9df9860ee018,Curtismouth Gym,Google,2023-04-09,Can get crowded during peak hours. Easy to book classes online.,1
Lisa Pierce,76d33443-0c94-4233-87ae-607e8c0645e1,South Donaldside Gym,Google,2022-11-11,Parking is limited but manageable. Classes are fun and motivating.,2
Christopher Phillips,52c7f7e4-27d9-4090-a224-05d614be9813,Steveville Gym,Google,2023-08-23,Staff are very friendly and helpful. Can get crowded during peak hours.,4
Scott Boone,913dc2f8-fbb0-4d25-9a66-77d6f6578b7b,West Carlton Gym,Google,2023-03-06,Good variety of machines and weights. Locker rooms could be cleaner.,3
James Wood,3d455509-e1c9-4764-8a0c-3ff1a5edb7cb,Lake Amy Gym,Google,2023-07-16,Staff are very friendly and helpful. Easy to book classes online.,2
Brian Lewis DDS,ae72aaae-4426-42e2-9ad3-ea721124a9a9,Morganstad Gym,Google,2024-05-01,Classes are fun and motivating. Easy to book classes online. Staff are very friendly and helpful.,1
Jordan Brown,63f5e69d-7dde-492f-9de7-2e0b8ebf6125,New Ashley Gym,Google,2023-06-09,Atmosphere is motivating and energetic. Classes are fun and motivating. Locker rooms could be cleaner. Can get crowded during peak hours.,2
Brianna Bradshaw,b48fb41a-95f5-46f2-b18b-75cfba65ef20,Thomasland Gym,Google,2023-09-02,Atmosphere is motivating and energetic. Parking is limited but manageable. Can get crowded during peak hours. Some machines were broken during my visit.,4
Kenneth Harper,209ca8fc-229f-4366-a984-f561afd6fdad,Dawsonburgh Gym,Google,2022-07-05,Staff are very friendly and helpful. Good variety of machines and weights. Atmosphere is motivating and energetic.,3
Tiffany Herrera,d5e33f9c-cbc7-45b0-bd58-3c44134f0aeb,South Elizabeth Gym,Google,2023-06-10,Staff are very friendly and helpful. Parking is limited but manageable. Good variety of machines and weights.,5
David Solis,6416bf8c-fdf3-4adc-a8c6-1e507a534133,North Adamchester Gym,Google,2023-05-22,Good variety of machines and weights. Easy to book classes online.,1
Heather Gutierrez,911f42bf-01a3-4c27-9a31-f162f6d01774,East Matthew Gym,Google,2022-07-18,Can get crowded during peak hours. Staff are very friendly and helpful. Some machines were broken during my visit.,4
Paul Solis,97c24388-6b96-406a-bc5b-5b71a8e96530,Hammondchester Gym,Google,2022-03-12,Can get crowded during peak hours. Parking is limited but manageable. Good variety of machines and weights. Great equipment and clean facilities.,3
Mark Conrad,2d27235a-76b4-41ab-a4fe-e5150d44fc10,West Monica Gym,Google,2022-06-16,Easy to book classes online. Atmosphere is motivating and energetic. Staff are very friendly and helpful.,3
Tristan Juarez,a874155d-8871-4924-9c65-6c069b4e346f,Sueberg Gym,Google,2022-10-15,Staff are very friendly and helpful. Good variety of machines and weights. Parking is limited but manageable.,4
Angela Bradley,d6afa6c1-be82-420e-8a60-2ccf904c563c,New Brianberg Gym,Google,2022-12-04,Great equipment and clean facilities. Staff are very friendly and helpful. Classes are fun and motivating.,1
Jose Bailey,4e9a9af9-f901-4126-a57b-96906972f09c,North Richard Gym,Google,2022-08-04,Easy to book classes online. Atmosphere is motivating and energetic. Great equipment and clean facilities. Staff are very friendly and helpful.,4
Danielle Wilcox,76f3c8d4-bdad-4498-9d01-0f15195ce307,West Cynthia Gym,Google,2024-01-01,Classes are fun and motivating. Some machines were broken during my visit. Can get crowded during peak hours. Great equipment and clean facilities.,3
Ashley Hunt,e8adc7da-eb27-4c7e-aaf4-1e68b8f88193,New Paulchester Gym,Google,2023-12-03,Parking is limited but manageable. Atmosphere is motivating and energetic. Good variety of machines and weights. Easy to book classes online.,5
Kristen Stephens,6a437450-b18f-4b6c-813e-a65db92b7544,South Samantha Gym,Google,2022-06-25,Easy to book classes online. Parking is limited but manageable.,4
Adrienne Martinez,6eaf7161-90fe-40b1-8cb5-3bc1405a5c2a,Robertsstad Gym,Google,2022-05-07,Easy to book classes online. Locker rooms could be cleaner. Good variety of machines and weights.,1
Matthew Knight,127243c9-1a0f-4d8b-8b8b-cdc02b0a37bc,Gabrielleview Gym,Google,2022-07-01,Easy to book classes online. Classes are fun and motivating.,1
Anthony Fernandez,d6af5f02-46bc-4c74-a52e-f9709c8a3957,Smithmouth Gym,Google,2023-08-20,Atmosphere is motivating and energetic. Easy to book classes online. Some machines were broken during my visit. Staff are very friendly and helpful.,3
Kayla Harrison,e2d66d6c-29f7-4315-bbbd-695c5a29fc45,Garciastad Gym,Google,2022-09-12,Atmosphere is motivating and energetic. Easy to book classes online. Some machines were broken during my visit. Parking is limited but manageable.,4
William Webb,1542de5a-50bb-4ab3-8f8a-671e29591fee,North Rhondahaven Gym,Google,2022-07-20,Classes are fun and motivating. Some machines were broken during my visit. Good variety of machines and weights. Locker rooms could be cleaner.,3
Kathryn Mitchell,950be671-9ca7-4d57-9f25-8ae0f01c23a4,Farmerside Gym,Google,2023-10-31,Great equipment and clean facilities. Parking is limited but manageable. Some machines were broken during my visit.,5
Jennifer Williams,94b26c59-751e-47c9-9f37-7eac8a57db30,Port Matthew Gym,Google,2023-03-24,Good variety of machines and weights. Great equipment and clean facilities. Classes are fun and motivating.,1
Debra Day,7e7e4841-5684-4afe-b312-430391b995eb,South Markshire Gym,Google,2024-05-06,Staff are very friendly and helpful. Some machines were broken during my visit. Classes are fun and motivating.,3
Whitney Hines,a162e98a-a909-47ad-87cc-351ba3c615f1,New Danielleview Gym,Google,2022-06-01,Parking is limited but manageable. Easy to book classes online. Some machines were broken during my visit. Great equipment and clean facilities.,5
John Gutierrez,c7825047-751c-4787-8344-132221248a85,East John Gym,Google,2022-05-31,Staff are very friendly and helpful. Parking is limited but manageable. Atmosphere is motivating and energetic.,1
Emily Barker,335bad64-19b9-44d0-abcb-192555995379,Melissashire Gym,Google,2023-05-09,Atmosphere is motivating and energetic. Parking is limited but manageable. Staff are very friendly and helpful. Classes are fun and motivating.,3
Amanda Alvarado,68eea9f9-6766-4c9c-b4f2-8c1213da8b91,New Kenneth Gym,Google,2023-07-07,Easy to book classes online. Some machines were broken during my visit. Atmosphere is motivating and energetic. Staff are very friendly and helpful.,5
Dr. Jason Larson,7fa9b012-88f7-4491-a50c-144bddddd9ff,Port Kenneth Gym,Google,2023-03-09,Locker rooms could be cleaner. Good variety of machines and weights. Great equipment and clean facilities.,2
Eric Allen,239967c7-c46a-4254-a49c-31cba1653177,Thompsonshire Gym,Google,2023-06-24,Great equipment and clean facilities. Some machines were broken during my visit. Can get crowded during peak hours.,4
Jeffrey Cooper,3b1605a6-d78d-4ebf-b04a-071a8b285e06,Smithfort Gym,Google,2024-02-01,Good variety of machines and weights. Parking is limited but manageable.,3
Carol Hudson,edb95806-6fb8-4fb8-a5f5-84d6de410f01,Territon Gym,Google,2023-01-05,Atmosphere is motivating and energetic. Good variety of machines and weights.,2
Joshua Fritz,db9a9956-4219-4317-81ab-8b75525e99d5,Mcdonaldbury Gym,Google,2022-09-10,Can get crowded during peak hours. Good variety of machines and weights.,4
Brian Weeks,4847f22a-657c-4d17-9f0c-541c4a271885,Melindaberg Gym,Google,2024-01-20,Locker rooms could be cleaner. Some machines were broken during my visit. Easy to book classes online.,4
Deborah Parsons,bc88877d-2e3b-4097-8845-bd157a924ce3,Davisborough Gym,Google,2024-01-17,Classes are fun and motivating. Can get crowded during peak hours. Staff are very friendly and helpful. Great equipment and clean facilities.,2
Jesus Sanchez,de04e56a-33fa-4f99-b0c9-3a45cf85df9d,Martinezstad Gym,Google,2022-09-30,Can get crowded during peak hours. Good variety of machines and weights. Easy to book classes online. Classes are fun and motivating.,2
Pamela Morales,23a14312-42a7-4652-88e6-c7f3f83a8441,Perezville Gym,Google,2023-12-04,Some machines were broken during my visit. Atmosphere is motivating and energetic.,4
Kathryn Branch,1d9d07d7-dd73-4cb5-bcf5-915e4e60e330,West Jameston Gym,Google,2023-06-14,Some machines were broken during my visit. Easy to book classes online.,5
Kenneth Hunter,082964ae-5abe-4ba5-aea2-a3617e3bb20a,Nelsonfort Gym,Google,2022-06-19,Can get crowded during peak hours. Good variety of machines and weights. Locker rooms could be cleaner.,5
Paul Bell,feb536fc-7a5e-406b-8ef2-1b15fc1bb27e,South Joseph Gym,Google,2023-03-30,Atmosphere is motivating and energetic. Great equipment and clean facilities. Some machines were broken during my visit. Good variety of machines and weights.,5
Christopher Sampson,e833d57c-44f6-4092-b734-41bc07ea5524,Mikaylaport Gym,Google,2023-01-15,Can get crowded during peak hours. Locker rooms could be cleaner.,5
David Hensley,3f88ee48-da5b-46ce-aaf3-378c61f91a62,Travisville Gym,Google,2022-03-31,Easy to book classes online. Classes are fun and motivating.,4
Charles Sharp DDS,ff9e917f-8708-4ba5-b54a-330515bfdf62,Pittsside Gym,Google,2023-09-27,Great equipment and clean facilities. Atmosphere is motivating and energetic. Parking is limited but manageable. Staff are very friendly and helpful.,5
Victoria Campbell,208b0561-1cbd-46f6-9280-d4dd8d30cf2a,Hansenfort Gym,Google,2024-02-02,Great equipment and clean facilities. Good variety of machines and weights. Easy to book classes online.,3
Eddie Jensen MD,724a20aa-61d4-4f0b-8df3-be95f1f8db6a,Paulahaven Gym,Google,2023-04-06,Some machines were broken during my visit. Easy to book classes online.,4
Cristina Compton,7df7408e-9c09-4b48-aa75-920548e5054a,East Mark Gym,Google,2022-11-13,Some machines were broken during my visit. Good variety of machines and weights. Locker rooms could be cleaner. Staff are very friendly and helpful.,5
Amanda Johnson,9bfdffd8-0e94-40dd-a128-a85964b70eb4,Jamiestad Gym,Google,2022-11-15,Locker rooms could be cleaner. Can get crowded during peak hours. Staff are very friendly and helpful. Atmosphere is motivating and energetic.,1
Kelly Delgado,2caad168-0258-4672-bc50-9928eb9c31d5,East Natasha Gym,Google,2023-06-22,Atmosphere is motivating and energetic. Staff are very friendly and helpful. Some machines were broken during my visit. Can get crowded during peak hours.,2
Francisco Ashley,2f17c897-5f5a-4504-ad91-700d6e4dcd98,North Cherylside Gym,Google,2022-03-22,Great equipment and clean facilities. Easy to book classes online.,1
Pamela Alvarez,d0e7f3dc-8aa5-4a38-9e83-9a3254464a03,West Brandyport Gym,Google,2023-09-02,Staff are very friendly and helpful. Good variety of machines and weights. Great equipment and clean facilities. Some machines were broken during my visit.,1
Robert Byrd,83c51371-9ffe-40b6-8e42-9e36e78a8a82,Kellyside Gym,Google,2023-03-31,Good variety of machines and weights. Can get crowded during peak hours. Parking is limited but manageable.,4
Tina Warner,0e7dac56-d105-4090-a771-5f137c7fef05,New Blake Gym,Google,2022-11-20,Good variety of machines and weights. Easy to book classes online. Can get crowded during peak hours. Locker rooms could be cleaner.,3
Kimberly Francis,138fd990-b5df-4762-a5b2-eb94a5bae5d5,Vargasshire Gym,Google,2024-01-23,Great equipment and clean facilities. Parking is limited but manageable.,5
Alexander Robertson,e835021c-65a5-4b43-a601-4e1b2191edc7,Flemingmouth Gym,Google,2022-09-06,Classes are fun and motivating. Atmosphere is motivating and energetic. Parking is limited but manageable.,3
Victoria Burton,de03da12-bf72-472b-b89f-8ca0287f5d33,North Tommy Gym,Google,2022-10-30,Good variety of machines and weights. Parking is limited but manageable. Can get crowded during peak hours.,2
Kimberly Elliott,3faba2d4-22f8-445a-89ed-c51a0f801120,North Rogerfurt Gym,Google,2023-02-27,Good variety of machines and weights. Staff are very friendly and helpful.,3
Becky White,4a46c83d-559f-4ef6-a162-5ee1bb8fd47f,Brownton Gym,Google,2024-01-13,Easy to book classes online. Classes are fun and motivating. Atmosphere is motivating and energetic.,5
Anne Hicks,e3196969-3dc6-4099-b108-d0dd01f713e2,Jacobland Gym,Google,2024-02-03,Can get crowded during peak hours. Easy to book classes online. Some machines were broken during my visit. Parking is limited but manageable.,3
Nicole Smith,80f0348e-209a-47ce-a49f-1283e4072c40,Raymondmouth Gym,Google,2023-04-25,Some machines were broken during my visit. Good variety of machines and weights.,5
Danielle Holloway,220788f3-8b23-442c-98be-1c921c209c05,North Kerryfurt Gym,Google,2023-10-12,Classes are fun and motivating. Some machines were broken during my visit. Great equipment and clean facilities. Good variety of machines and weights.,5
Kelly Gardner,0e1dce8c-4a68-4193-bd12-8d9974eba14f,North Michaelfort Gym,Google,2023-08-13,Classes are fun and motivating. Atmosphere is motivating and energetic. Great equipment and clean facilities.,5
Laurie Roberts,a3098b2a-26be-4355-8225-1fdaa11c0e2f,West Anafurt Gym,Google,2022-05-12,Good variety of machines and weights. Atmosphere is motivating and energetic. Some machines were broken during my visit. Classes are fun and motivating.,1
Daniel Rodriguez,6f400540-1585-4627-af1e-e14753597976,Kennethborough Gym,Google,2023-04-15,Locker rooms could be cleaner. Classes are fun and motivating.,1
Michael Mercado,87b4a2d7-ef01-45d2-aeef-1160579f5616,South Pedrofurt Gym,Google,2023-05-08,Parking is limited but manageable. Some machines were broken during my visit. Can get crowded during peak hours. Classes are fun and motivating.,3
Jennifer Johnson,5209a982-553f-432a-bd4a-4ca833478107,Rickyhaven Gym,Google,2024-03-01,Good variety of machines and weights. Some machines were broken during my visit.,3
Michael David,24ca326d-3dfc-436d-8e3d-55ca4264010e,Livingstonberg Gym,Google,2022-08-07,Easy to book classes online. Staff are very friendly and helpful. Great equipment and clean facilities. Some machines were broken during my visit.,4
Kelly Stanton,a8e73d58-a676-4dd0-9f24-6426244c688a,Gonzalezburgh Gym,Google,2023-11-18,Locker rooms could be cleaner. Some machines were broken during my visit. Parking is limited but manageable. Can get crowded during peak hours.,1
Arthur Knox,a7d23629-d568-4998-b12b-365794dce5e0,Tamaramouth Gym,Google,2022-09-09,Staff are very friendly and helpful. Easy to book classes online.,1
Justin Nelson,2e15340d-a8f4-49e8-a44c-15221b748acb,Port Charles Gym,Google,2023-12-30,Staff are very friendly and helpful. Atmosphere is motivating and energetic. Some machines were broken during my visit. Great equipment and clean facilities.,4
Samantha Mullins,8d67cff8-03e5-4633-8ff2-a8e9b81e135e,South Destiny Gym,Google,2023-02-26,Locker rooms could be cleaner. Good variety of machines and weights. Can get crowded during peak hours. Great equipment and clean facilities.,2
Larry Owens,c3d98ce3-fff7-46ea-8c65-85ff394327b6,East Cynthiaton Gym,Google,2023-07-28,Staff are very friendly and helpful. Great equipment and clean facilities. Some machines were broken during my visit.,5
Brian Jackson,d0c451aa-460e-4ca7-a7c2-6503ff11e122,West Corey Gym,Google,2022-12-18,Parking is limited but manageable. Easy to book classes online. Classes are fun and motivating.,5
Lauren Steele,077a8b69-decb-4b6a-ab5f-ee4103e702db,South Gregory Gym,Google,2023-04-19,Classes are fun and motivating. Locker rooms could be cleaner. Some machines were broken during my visit.,2
Angela Brown,8be34c5c-5e8c-4f70-bb73-79072317c06a,Wilsonhaven Gym,Google,2022-06-14,Great equipment and clean facilities. Some machines were broken during my visit. Parking is limited but manageable.,5
Patricia Hall,10cb936e-91a1-4190-a92b-f21f5c0f1670,Harpertown Gym,Google,2023-06-13,Easy to book classes online. Some machines were broken during my visit.,3
Michael Glover,6c5768f6-e0eb-42dc-9651-fb93d73ea612,Brooksstad Gym,Google,2024-03-24,Can get crowded during peak hours. Classes are fun and motivating.,5
Paul Dodson,2196d04e-5f86-4a74-9e4f-a81ac4a07ea6,Port Rachel Gym,Google,2022-04-21,Some machines were broken during my visit. Atmosphere is motivating and energetic. Great equipment and clean facilities. Classes are fun and motivating.,5
Eric Bennett,fd7874b8-0918-4207-bcf2-4633df15f97a,Elizabethborough Gym,Google,2023-06-23,Good variety of machines and weights. Parking is limited but manageable. Classes are fun and motivating.,2
Margaret Cooper,43c84efd-2bf2-4774-a008-1895a9e4b131,Leeview Gym,Google,2022-12-16,Great equipment and clean facilities. Atmosphere is motivating and energetic. Classes are fun and motivating. Locker rooms could be cleaner.,5
Nina Travis,d35f2bb3-fe91-4528-b9fc-15fafe90538b,Lake Jeffshire Gym,Google,2024-01-19,Staff are very friendly and helpful. Great equipment and clean facilities. Some machines were broken during my visit. Atmosphere is motivating and energetic.,5
Richard Whitaker,5a6fa856-9128-4592-a42d-cb44f1edfd10,Lake Christopher Gym,Google,2023-01-30,Some machines were broken during my visit. Good variety of machines and weights.,4
Michael Crawford,5ee328e7-ff0a-429b-8461-17a326e23734,Baxterfurt Gym,Google,2022-05-31,Great equipment and clean facilities. Parking is limited but manageable. Atmosphere is motivating and energetic.,3
Aaron Silva,a082efb7-9bed-4126-9d92-5a4ba7bb52a9,Port Kristen Gym,Google,2024-04-30,Atmosphere is motivating and energetic. Locker rooms could be cleaner. Great equipment and clean facilities.,1
Sharon Martinez,d15e9433-d2d5-47a0-81ce-d594b0a1dfd5,Evanschester Gym,Google,2022-08-23,Easy to book classes online. Great equipment and clean facilities. Atmosphere is motivating and energetic. Staff are very friendly and helpful.,3
Robert Lopez,42b13085-4791-467e-be26-4f7731862760,Shortfurt Gym,Google,2022-12-26,Classes are fun and motivating. Some machines were broken during my visit.,4
Emily Martinez,7fb8d510-3d34-4003-a1f7-6938aca01767,Port Curtisburgh Gym,Google,2022-07-25,Some machines were broken during my visit. Good variety of machines and weights. Classes are fun and motivating.,1
Brett Vega,688bb181-49f3-48a3-ac93-4199aad335d4,North Alexanderside Gym,Google,2023-05-15,Locker rooms could be cleaner. Staff are very friendly and helpful. Easy to book classes online. Classes are fun and motivating.,1
Teresa Nichols,8d1c24ea-999d-461e-bc70-acbecb3e32df,Madisonside Gym,Google,2024-01-14,Parking is limited but manageable. Staff are very friendly and helpful. Classes are fun and motivating.,1
Linda Combs,a1d1f5e7-8e96-47d1-83c4-32955ae382cf,Lake Stephanieburgh Gym,Google,2023-12-26,Easy to book classes online. Can get crowded during peak hours. Staff are very friendly and helpful.,5
Robert Oliver,6b829160-c1fc-40be-a436-e69733ebf7ed,Davidborough Gym,Google,2023-01-04,Some machines were broken during my visit. Classes are fun and motivating.,4
Ashley Estrada,3ac29ec0-e56b-442e-9b7c-bed0da17914a,Christophermouth Gym,Google,2023-01-05,Locker rooms could be cleaner. Some machines were broken during my visit. Can get crowded during peak hours.,3
Jordan Daniels,1bada4db-9661-4392-bf42-88b09052904e,Lake Stevenmouth Gym,Google,2022-11-29,Easy to book classes online. Great equipment and clean facilities. Good variety of machines and weights. Atmosphere is motivating and energetic.,3
Joshua Wood,b713eb0c-ee27-423a-9585-1c045113bde6,Coxchester Gym,Google,2023-04-06,Good variety of machines and weights. Atmosphere is motivating and energetic. Easy to book classes online.,2
Paul Johnson,7dac7a27-6b8b-4cda-86b1-522cbd6bbe3e,Freemanfort Gym,Google,2023-03-25,Staff are very friendly and helpful. Parking is limited but manageable. Some machines were broken during my visit. Can get crowded during peak hours.,3
Tammy Long,89e15e01-51b1-484c-b799-7413803b117f,New Alyssaview Gym,Google,2022-11-12,Staff are very friendly and helpful. Great equipment and clean facilities. Atmosphere is motivating and energetic.,2
Jacob Moore,6eb20250-59a7-416b-b1bf-dc3c158a5842,Hendersonchester Gym,Google,2024-03-04,Staff are very friendly and helpful. Locker rooms could be cleaner. Easy to book classes online.,1
Amanda Phelps,b3ed3c6f-7d9d-49b7-a32c-3ac2d76e2e07,Patriciamouth Gym,Google,2023-05-31,Classes are fun and motivating. Some machines were broken during my visit.,5
Mrs. Nicole Gordon MD,250b3ca9-5515-4f36-9942-2c1376278376,South Jenniferhaven Gym,Google,2023-01-15,Great equipment and clean facilities. Can get crowded during peak hours.,4
Heather Davis,65a0eb74-dc0e-40e0-ab55-235bb96ee6b3,Weavermouth Gym,Google,2024-02-08,Parking is limited but manageable. Easy to book classes online. Some machines were broken during my visit.,3
Jennifer Johnson,d8e37b78-289e-42fc-ae00-f2cb9632c5e6,Brittanyberg Gym,Google,2023-07-02,Locker rooms could be cleaner. Classes are fun and motivating. Can get crowded during peak hours. Great equipment and clean facilities.,2
Rebecca Patton,ecd5caa2-43a7-4ff8-9359-76fd97857105,Swansonberg Gym,Google,2022-09-18,Some machines were broken during my visit. Locker rooms could be cleaner. Staff are very friendly and helpful.,2
Jose Pitts,c1dd913a-414a-423b-a008-8360ad324c05,New Kevin Gym,Google,2023-11-18,Can get crowded during peak hours. Parking is limited but manageable.,4
James Mueller,165cb770-5fb3-43ab-9bb3-78045e639712,East Debbieview Gym,Google,2023-11-15,Classes are fun and motivating. Some machines were broken during my visit. Can get crowded during peak hours.,4
Christina Valdez,4f3910ce-a941-4492-859b-116d8d176c23,East Donnaside Gym,Google,2022-11-25,Atmosphere is motivating and energetic. Locker rooms could be cleaner. Classes are fun and motivating.,1
Thomas Garcia,ef2420b5-2159-428d-ac83-123701152bd0,Griffithburgh Gym,Google,2023-08-31,Easy to book classes online. Can get crowded during peak hours. Great equipment and clean facilities.,5
Michael Jones,a8add7d7-fe88-4775-8e42-46ca7a1c3c5a,Floresside Gym,Google,2022-11-22,Some machines were broken during my visit. Staff are very friendly and helpful. Locker rooms could be cleaner. Classes are fun and motivating.,2
Brandon Yu,eb1cec7e-e392-4b4c-abea-c68429a2dfdb,Seanchester Gym,Google,2022-11-13,Staff are very friendly and helpful. Atmosphere is motivating and energetic.,3
Diamond Park,500b2230-caa5-44e1-856b-39bfac748460,Lake Tammy Gym,Google,2023-05-01,Parking is limited but manageable. Some machines were broken during my visit.,2
Hannah Lee,db9909fd-fd9d-4c24-b73e-4a3e637e9c12,Bauerport Gym,Google,2023-01-27,Parking is limited but manageable. Easy to book classes online. Some machines were broken during my visit.,2
